error_id,source,modeling_class,n_trajectories_with_error,n_trajectories_total,p_trajectory,p_traj_ci_lower,p_traj_ci_upper,total_steps,p_message,p_msg_ci_lower,p_msg_ci_upper,step_mean,step_median,step_std,step_p25,step_p75,step_n,best_distribution,best_dist_params,best_dist_ks_stat,best_dist_ks_pvalue,data_quality,insufficient_data,notes,fit_conclusion
instruction_adherence_failure,magentic_one,1,25,44,0.5682,0.4222,0.7032,2993,0.06582025,0.0574813,0.07527233,,,,,,,,,,,medium,False,,from AgentRx/Who&When
guardrails_triggered,magentic_one,3,23,44,0.5227,0.3794,0.6625,2993,0.00801871,0.00539448,0.01190427,,,,,,,,,,,medium,False,,from AgentRx/Who&When
misinterpretation_of_tool_output,magentic_one,1,17,44,0.3864,0.2572,0.5338,2993,0.0076846,0.00512612,0.01150525,,,,,,,,,,,medium,True,,from AgentRx/Who&When
intent_not_supported,magentic_one,1,5,44,0.1136,0.0495,0.2398,2993,0.00735048,0.00485918,0.01110483,,,,,,,,,,,medium,True,,from AgentRx/Who&When
intent_plan_misalignment,magentic_one,1,7,44,0.1591,0.0793,0.2937,2993,0.00634815,0.00406781,0.00989409,,,,,,,,,,,medium,True,,from AgentRx/Who&When
invention_of_new_information,magentic_one,1,5,44,0.1136,0.0495,0.2398,2993,0.0026729,0.00135501,0.00526583,,,,,,,,,,,medium,True,,from AgentRx/Who&When
invalid_invocation,magentic_one,3,1,44,0.0227,0.004,0.1181,2993,0.00033411,5.898e-05,0.00189027,,,,,,,,,,,medium,True,,from AgentRx/Who&When
system_failure,magentic_one,3,1,44,0.0227,0.004,0.1181,2993,0.00033411,5.898e-05,0.00189027,,,,,,,,,,,medium,True,,from AgentRx/Who&When
underspecified_user_intent,tau_retail,1,10,29,0.3448,0.1994,0.5266,1064,0.0093985,0.00511294,0.01721397,,,,,,,,,,,medium,True,,from AgentRx/Who&When
intent_plan_misalignment,tau_retail,1,8,29,0.2759,0.147,0.4572,1064,0.0075188,0.00381468,0.01476635,,,,,,,,,,,medium,True,,from AgentRx/Who&When
misinterpretation_of_tool_output,tau_retail,1,7,29,0.2414,0.1222,0.4211,1064,0.0075188,0.00381468,0.01476635,,,,,,,,,,,medium,True,,from AgentRx/Who&When
instruction_adherence_failure,tau_retail,1,6,29,0.2069,0.0985,0.3839,1064,0.0056391,0.0025869,0.01224826,,,,,,,,,,,medium,True,,from AgentRx/Who&When
invalid_invocation,tau_retail,3,2,29,0.069,0.0191,0.2196,1064,0.0037594,0.00146287,0.00962641,,,,,,,,,,,medium,True,,from AgentRx/Who&When
intent_not_supported,tau_retail,1,2,29,0.069,0.0191,0.2196,1064,0.0018797,0.00051562,0.00682779,,,,,,,,,,,medium,True,,from AgentRx/Who&When
system_failure,tau_retail,3,1,29,0.0345,0.0061,0.1718,1064,0.00093985,0.00016592,0.00530455,,,,,,,,,,,medium,True,,from AgentRx/Who&When
unclassified,who_and_when,1,74,184,0.4022,0.334,0.4743,4092,0.02077224,0.0168308,0.02561264,,,,,,,exponential,"0.0000, 5.2471",0.179418,0.007261,medium,False,,from AgentRx/Who&When
code_error,who_and_when,1,30,184,0.163,0.1167,0.2232,4092,0.00733138,0.00514028,0.01044665,,,,,,,exponential,"0.0000, 2.6667",0.253956,0.034174,medium,False,,from AgentRx/Who&When
tool_web_failure,who_and_when,3,25,184,0.1359,0.0938,0.1929,4092,0.00635386,0.00433978,0.00929395,,,,,,,exponential,"3.0000, 7.8846",0.222696,0.129696,medium,False,,from AgentRx/Who&When
orchestration_failure,who_and_when,1,17,184,0.0924,0.0585,0.143,4092,0.00415445,0.00259549,0.00664354,,,,,,,,,,,medium,True,,from AgentRx/Who&When
resource_abuse,who_and_when,3,9,184,0.0489,0.0259,0.0903,4092,0.00219941,0.00115756,0.00417507,,,,,,,,,,,medium,True,,from AgentRx/Who&When
hallucination,who_and_when,1,8,184,0.0435,0.0222,0.0834,4092,0.00195503,0.00099097,0.00385335,,,,,,,,,,,medium,True,,from AgentRx/Who&When
factual_error,who_and_when,1,6,184,0.0326,0.015,0.0693,4092,0.00146628,0.00067217,0.00319556,,,,,,,,,,,medium,True,,from AgentRx/Who&When
misinterpretation,who_and_when,1,3,184,0.0163,0.0056,0.0468,4092,0.00073314,0.00024936,0.00215347,,,,,,,,,,,medium,True,,from AgentRx/Who&When
tool_web_failure,keyword_search_nebius,3,26379,80036,0.329589,0.326341,0.332854,4311283,0.02246895,0.02232948,0.02260927,19.41,14.0,29.86,8.0,24.0,26379.0,exponential,"2.0000, 17.4064",0.148034,0.0,high,False,,no_parametric_fit: рекомендуется эмпирическое распределение | no_parametric_fit: рекомендуется эмпирическое распределение
