error_id,source,position_type,distribution,params,ks_statistic,ks_pvalue,low_confidence,ks_informative
code_error,trail,absolute,exponential,"7.0000, 22.6041",0.142132,0.000618,False,False
code_error,trail,absolute,weibull_min,"1.4256, 0.0000, 32.8169",0.104621,0.024847,False,False
code_error,trail,absolute,lognorm,"0.7387, 0.0000, 22.7539",0.10388,0.026427,False,False
code_error,trail,absolute,pareto,"0.8483, 0.0000, 7.0000",0.210917,0.0,False,False
code_error,trail,absolute,gamma,"2.0510, 0.0000, 14.4343",0.078519,0.167038,False,False
code_error,trail,absolute,lomax,"28530398460689.2383, 0.0000, 844615511751325.7500",0.210578,0.0,False,False
code_error,trail,normalized,exponential,"0.1296, 0.4242",0.233802,0.0,False,False
code_error,trail,normalized,weibull_min,"2.8594, 0.0000, 0.6223",0.057835,0.506673,False,False
code_error,trail,normalized,lognorm,"0.4646, 0.0000, 0.5044",0.102852,0.028763,False,False
code_error,trail,normalized,beta,"1.3830, 1.3767, 0.1210, 0.8637",0.050911,0.66755,False,False
code_error,trail,normalized,uniform,"0.1296, 0.8466",0.084446,0.113677,False,False
code_error,trail,normalized,pareto,"0.7360, 0.0000, 0.1296",0.334996,0.0,False,False
code_error,trail,normalized,gamma,"5.5082, 0.0000, 0.1005",0.076756,0.18627,False,False
code_error,trail,normalized,lomax,"25599322965897.9297, 0.0000, 14177445586170.4688",0.284417,0.0,False,False
hallucination,trail,absolute,exponential,"7.0000, 15.9905",0.25386,2e-06,False,False
hallucination,trail,absolute,weibull_min,"1.2133, 0.0000, 24.8013",0.224909,3.8e-05,False,False
hallucination,trail,absolute,lognorm,"0.7251, 0.0000, 16.7880",0.18673,0.001117,False,False
hallucination,trail,absolute,pareto,"1.1432, 0.0000, 7.0000",0.22114,5.4e-05,False,False
hallucination,trail,absolute,gamma,"1.7383, 0.0000, 13.2259",0.213172,0.000115,False,False
hallucination,trail,absolute,lomax,"148.9985, 0.0000, 3402.5128",0.296802,0.0,False,False
hallucination,trail,normalized,exponential,"0.2432, 0.5176",0.361012,0.0,False,False
hallucination,trail,normalized,weibull_min,"5.7546, 0.0000, 0.8246",0.215534,9.2e-05,False,False
hallucination,trail,normalized,lognorm,"0.2930, 0.0000, 0.7338",0.24493,5e-06,False,False
hallucination,trail,normalized,beta,"2.2003, 0.7747, 0.1722, 0.8278",0.206662,0.000207,False,False
hallucination,trail,normalized,uniform,"0.2432, 0.7568",0.374359,0.0,False,False
hallucination,trail,normalized,pareto,"0.9057, 0.0000, 0.2432",0.398735,0.0,False,False
hallucination,trail,normalized,gamma,"13.9837, 0.0000, 0.0544",0.242046,7e-06,False,False
hallucination,trail,normalized,lomax,"55279648697631.4531, 0.0000, 42057395379519.6172",0.383662,0.0,False,False
instruction_adherence_failure,trail,absolute,exponential,"7.0000, 11.5974",0.24026,0.0,False,False
instruction_adherence_failure,trail,absolute,weibull_min,"1.4782, 0.0000, 20.7827",0.181403,6.6e-05,False,False
instruction_adherence_failure,trail,absolute,lognorm,"0.6435, 0.0000, 14.8883",0.153065,0.00129,False,False
instruction_adherence_failure,trail,absolute,pareto,"1.3251, 0.0000, 7.0000",0.24026,0.0,False,False
instruction_adherence_failure,trail,absolute,gamma,"2.4012, 0.0000, 7.7450",0.151364,0.001517,False,False
instruction_adherence_failure,trail,absolute,lomax,"16809735148157.5469, 0.0000, 312617414944993.3125",0.31367,0.0,False,False
instruction_adherence_failure,trail,normalized,exponential,fit_failed: The data contains non-finite values.,,,False,False
instruction_adherence_failure,trail,normalized,weibull_min,fit_failed: The data contains non-finite values.,,,False,False
instruction_adherence_failure,trail,normalized,lognorm,fit_failed: The data contains non-finite values.,,,False,False
instruction_adherence_failure,trail,normalized,beta,fit_failed: The data contains non-finite values.,,,False,False
instruction_adherence_failure,trail,normalized,uniform,fit_failed: The data contains non-finite values.,,,False,False
instruction_adherence_failure,trail,normalized,pareto,fit_failed: The data contains non-finite values.,,,False,False
instruction_adherence_failure,trail,normalized,gamma,fit_failed: The data contains non-finite values.,,,False,False
instruction_adherence_failure,trail,normalized,lomax,fit_failed: The data contains non-finite values.,,,False,False
kv_cache_loss,trail,absolute,exponential,"9.0000, 25.5102",0.104284,0.623226,True,False
kv_cache_loss,trail,absolute,weibull_min,"1.7336, 0.0000, 38.9802",0.085148,0.839832,True,False
kv_cache_loss,trail,absolute,lognorm,"0.6157, 0.0000, 28.6992",0.084473,0.8465,True,False
kv_cache_loss,trail,absolute,pareto,"0.8623, 0.0000, 9.0000",0.209689,0.022815,True,False
kv_cache_loss,trail,absolute,gamma,"2.8675, 0.0000, 12.0348",0.073081,0.938892,True,False
