source,trajectory_id,category_original,category_unified,step_number,text_snippet
magentic_one,5f982798-16b9-4051-ab57-cfc7ebdb2a91,Instruction/Plan Adherence Failure,instruction_adherence_failure,13,Websurfer could not  download a PDF file and search throught it which was an instruction given by Or
magentic_one,5f982798-16b9-4051-ab57-cfc7ebdb2a91,Instruction/Plan Adherence Failure,instruction_adherence_failure,17,Websurfer could not  download a PDF file and search throught it which was an instruction given by Or
magentic_one,5f982798-16b9-4051-ab57-cfc7ebdb2a91,Invention of new information,invention_of_new_information,33,FileSurfer hallucinated. It downloaded the file at '/workspace/workspace/http:/export.arxiv.org/pdf/
magentic_one,c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,Instruction/Plan Adherence Failure,instruction_adherence_failure,9,The websurfer was asked to give full list of Daniel Craig movies on Netflix US with their IMDB ratin
magentic_one,c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,Misinterpretation of Tool Output,misinterpretation_of_tool_output,10,"Even though the websurfer told it had only 18% of the information, it went ahead and tried to search"
magentic_one,ebbc1f13-d24d-40df-9068-adcf735b4240,Guardrails Triggered,guardrails_triggered,17,WebSurfer could not get past Cloudflare 'verify you are not a robot' check on Collins Dictionary web
magentic_one,52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,Instruction/Plan Adherence Failure,instruction_adherence_failure,5,Worked over 9% of the webpage despite orchestrator asking for complete information
magentic_one,52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,Instruction/Plan Adherence Failure,instruction_adherence_failure,9,Worked over 42% of the webpage despite orchestrator asking for complete information
magentic_one,52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,Misinterpretation of Tool Output,misinterpretation_of_tool_output,11,Searched with incomplete information
magentic_one,3af8028c2a59e28ca88baff0e6d91f2a9f170c5ef91003f1c8406755a2760ad4,Intent Plan Misalignment,intent_plan_misalignment,4,The orchestrator failed to capture user intent. The user had given two different Magic: The Gatherin
magentic_one,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,Instruction/Plan Adherence Failure,instruction_adherence_failure,5,Webusurfer worked on 35% of the webpage
magentic_one,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,Misinterpretation of Tool Output,misinterpretation_of_tool_output,7,Orchestrator said request satisfied on incomplete information
magentic_one,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,Intent not supported,intent_not_supported,5,Websurfer was asked to take snapshot in youtube video but it could not do such actions
magentic_one,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,Intent not supported,intent_not_supported,9,Websurfer was asked to take snapshot in youtube video but it could not do such actions
magentic_one,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,Intent not supported,intent_not_supported,13,Websurfer was asked to take snapshot in youtube video but it could not do such actions
magentic_one,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,Intent not supported,intent_not_supported,17,Websurfer was asked to take snapshot in youtube video but it could not do such actions
magentic_one,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,Intent not supported,intent_not_supported,21,Websurfer was asked to take snapshot in youtube video but it could not do such actions
magentic_one,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,Intent not supported,intent_not_supported,25,Websurfer was asked to take snapshot in youtube video but it could not do such actions
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,5,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,7,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,10,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,12,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,14,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,16,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,18,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,20,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,22,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,24,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,26,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,28,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,30,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,32,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,37,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,39,Was not able to search for historical stock prices of apple when it first went above $50
magentic_one,08cae58d-4084-4616-b6dd-dd6534e4825b,Instruction/Plan Adherence Failure,instruction_adherence_failure,41,Was not able to search for historical stock prices of apple when it first went above $50
