dataset,category,n_trajectories_with_error,n_trajectories_total,n_occurrences_total,p_trajectory,ci_lower,ci_upper
nebius,tool_timeout,11080,80036,46563,0.138438,0.136062,0.140848
nebius,tool_web_failure,26379,80036,96870,0.329589,0.326341,0.332854
nebius,resource_not_found,33565,80036,214388,0.419374,0.415959,0.422796
nebius,permission_error,1426,80036,5045,0.017817,0.016923,0.018757
nebius,memory_error,2203,80036,6307,0.027525,0.026414,0.028681
nebius,code_execution_error,63047,80036,453497,0.787733,0.784886,0.790552
nebius,tool_execution_error,67860,80036,640587,0.847868,0.845364,0.85034
swegym,tool_timeout,721,6055,1164,0.119075,0.111158,0.127476
swegym,tool_web_failure,2234,6055,6567,0.368951,0.356884,0.381185
swegym,resource_not_found,1652,6055,3882,0.272832,0.26176,0.284193
swegym,permission_error,62,6055,86,0.010239,0.007996,0.013104
swegym,memory_error,477,6055,800,0.078778,0.072256,0.085834
swegym,code_execution_error,3218,6055,17594,0.531462,0.518876,0.544007
swegym,tool_execution_error,4420,6055,29083,0.729975,0.718649,0.74101
terminalbench,tool_timeout,2750,52104,14995,0.052779,0.050892,0.054732
terminalbench,tool_web_failure,5663,52104,20186,0.108686,0.106043,0.111388
terminalbench,resource_not_found,3573,52104,7007,0.068574,0.066436,0.070776
terminalbench,permission_error,267,52104,663,0.005124,0.004547,0.005775
terminalbench,memory_error,1750,52104,20184,0.033587,0.032074,0.035168
terminalbench,code_execution_error,1143,52104,3075,0.021937,0.020714,0.02323
terminalbench,tool_execution_error,2194,52104,5577,0.042108,0.040417,0.043867
itbench,tool_timeout,80,105,1819,0.761905,0.672111,0.83321
itbench,tool_web_failure,105,105,1193,1.0,0.964705,1.0
itbench,resource_not_found,68,105,335,0.647619,0.55251,0.732308
itbench,permission_error,2,105,3,0.019048,0.005239,0.066807
itbench,memory_error,105,105,243,1.0,0.964705,1.0
itbench,code_execution_error,25,105,50,0.238095,0.16679,0.327889
itbench,tool_execution_error,80,105,409,0.761905,0.672111,0.83321
