category,source,n_failures,n_trajectories_with_error,n_trajectories_total,p_trajectory,p_trajectory_ci_lower,p_trajectory_ci_upper,total_steps,p_message,p_message_ci_lower,p_message_ci_upper,insufficient_data
instruction_adherence_failure,magentic_one,197,25,44,0.5682,0.4222,0.7032,2993,0.06582025,0.0574813,0.07527233,False
guardrails_triggered,magentic_one,24,23,44,0.5227,0.3794,0.6625,2993,0.00801871,0.00539448,0.01190427,False
misinterpretation_of_tool_output,magentic_one,23,17,44,0.3864,0.2572,0.5338,2993,0.0076846,0.00512612,0.01150525,True
intent_not_supported,magentic_one,22,5,44,0.1136,0.0495,0.2398,2993,0.00735048,0.00485918,0.01110483,True
intent_plan_misalignment,magentic_one,19,7,44,0.1591,0.0793,0.2937,2993,0.00634815,0.00406781,0.00989409,True
invention_of_new_information,magentic_one,8,5,44,0.1136,0.0495,0.2398,2993,0.0026729,0.00135501,0.00526583,True
invalid_invocation,magentic_one,1,1,44,0.0227,0.004,0.1181,2993,0.00033411,5.898e-05,0.00189027,True
system_failure,magentic_one,1,1,44,0.0227,0.004,0.1181,2993,0.00033411,5.898e-05,0.00189027,True
underspecified_user_intent,tau_retail,10,10,29,0.3448,0.1994,0.5266,1064,0.0093985,0.00511294,0.01721397,True
intent_plan_misalignment,tau_retail,8,8,29,0.2759,0.147,0.4572,1064,0.0075188,0.00381468,0.01476635,True
misinterpretation_of_tool_output,tau_retail,8,7,29,0.2414,0.1222,0.4211,1064,0.0075188,0.00381468,0.01476635,True
instruction_adherence_failure,tau_retail,6,6,29,0.2069,0.0985,0.3839,1064,0.0056391,0.0025869,0.01224826,True
invalid_invocation,tau_retail,4,2,29,0.069,0.0191,0.2196,1064,0.0037594,0.00146287,0.00962641,True
intent_not_supported,tau_retail,2,2,29,0.069,0.0191,0.2196,1064,0.0018797,0.00051562,0.00682779,True
system_failure,tau_retail,1,1,29,0.0345,0.0061,0.1718,1064,0.00093985,0.00016592,0.00530455,True
unclassified,who_and_when,85,74,184,0.4022,0.334,0.4743,4092,0.02077224,0.0168308,0.02561264,False
code_error,who_and_when,30,30,184,0.163,0.1167,0.2232,4092,0.00733138,0.00514028,0.01044665,False
tool_web_failure,who_and_when,26,25,184,0.1359,0.0938,0.1929,4092,0.00635386,0.00433978,0.00929395,False
orchestration_failure,who_and_when,17,17,184,0.0924,0.0585,0.143,4092,0.00415445,0.00259549,0.00664354,True
resource_abuse,who_and_when,9,9,184,0.0489,0.0259,0.0903,4092,0.00219941,0.00115756,0.00417507,True
hallucination,who_and_when,8,8,184,0.0435,0.0222,0.0834,4092,0.00195503,0.00099097,0.00385335,True
factual_error,who_and_when,6,6,184,0.0326,0.015,0.0693,4092,0.00146628,0.00067217,0.00319556,True
misinterpretation,who_and_when,3,3,184,0.0163,0.0056,0.0468,4092,0.00073314,0.00024936,0.00215347,True
