error_id,source,n_trajectories_with_error,n_trajectories_total,p_trajectory,p_traj_ci_lower,p_traj_ci_upper,total_steps,p_message,p_msg_ci_lower,p_msg_ci_upper,step_mean,step_median,step_std,step_n,step_p25,step_p75,step_p90,step_p95,norm_mean,norm_median,norm_std,norm_n,insufficient_data
code_error,trail,74,143,0.517483,0.436201,0.59785,4544.0,0.04335387,0.03780812,0.04967109,29.6,23.0,22.8,197.0,12.0,37.0,51.0,65.39999999999998,0.55,0.5454545454545454,0.21,197.0,False
hallucination,trail,83,143,0.58042,0.498468,0.658163,4544.0,0.02310739,0.019125,0.02789546,22.99,13.0,23.24,105.0,9.0,30.0,52.0,56.39999999999999,0.76,0.8181818181818182,0.18,105.0,False
instruction_adherence_failure,trail,77,143,0.538462,0.456816,0.618095,4544.0,0.03411092,0.0292143,0.03979462,18.6,13.0,14.26,154.0,9.0,25.0,37.0,41.0,0.63,0.6363636363636364,0.22,154.0,False
invalid_invocation,trail,10,143,0.06993,0.038425,0.123938,4544.0,0.00242077,0.00135227,0.0043299,26.55,12.0,39.27,11.0,10.5,15.0,39.0,93.5,0.62,0.6666666666666666,0.16,11.0,True
kv_cache_loss,trail,44,143,0.307692,0.237902,0.387544,4544.0,0.01078345,0.00816661,0.01422678,34.51,32.0,21.38,49.0,18.0,44.0,57.2,76.99999999999991,0.82,0.875,0.22,49.0,False
misinterpretation_of_tool_output,trail,40,143,0.27972,0.212654,0.358313,4544.0,0.01254401,0.009695,0.01621655,31.14,21.0,25.51,57.0,17.0,35.0,71.19999999999999,89.19999999999996,0.63,0.635036496350365,0.23,57.0,False
orchestration_failure,trail,92,143,0.643357,0.562038,0.717174,4544.0,0.0409331,0.03554926,0.04709249,16.25,9.0,14.81,185.0,9.0,17.0,34.0,39.79999999999998,0.71,0.8095238095238095,0.19,185.0,False
resource_abuse,trail,45,143,0.314685,0.244264,0.394803,4544.0,0.01320423,0.01027244,0.01695841,27.45,22.0,17.56,60.0,15.0,38.0,52.0,57.29999999999998,0.58,0.5778787878787879,0.22,60.0,False
resource_not_found,trail,4,143,0.027972,0.01093,0.069712,4544.0,0.00154049,0.00074641,0.00317668,56.29,46.0,40.28,7.0,33.0,58.5,95.20000000000003,121.59999999999994,0.5,0.38461538461538464,0.23,7.0,True
system_failure,trail,2,143,0.013986,0.003844,0.049558,4544.0,0.00044014,0.00012071,0.00160354,,,,,,,,,,,,,True
tool_timeout,trail,2,143,0.013986,0.003844,0.049558,4544.0,0.00044014,0.00012071,0.00160354,,,,,,,,,,,,,True
tool_web_failure,trail,5,143,0.034965,0.015026,0.079237,4544.0,0.00110035,0.00047009,0.00257347,29.2,24.0,18.5,5.0,18.0,32.0,50.6,56.8,0.64,0.6923076923076923,0.22,5.0,True
guardrails_triggered,magentic_one,23,44,0.522727,0.379352,0.662452,,,,,40.21,27.0,33.61,24.0,17.0,52.25,90.89999999999999,109.99999999999996,,,,,False
instruction_adherence_failure,magentic_one,25,44,0.568182,0.422239,0.703175,,,,,54.38,52.0,34.99,197.0,22.0,81.0,106.80000000000001,116.19999999999999,,,,,False
intent_not_supported,magentic_one,5,44,0.113636,0.049527,0.239794,,,,,45.82,24.0,39.34,22.0,16.25,95.0,103.60000000000001,107.8,,,,,True
intent_plan_misalignment,magentic_one,7,44,0.159091,0.079266,0.293665,,,,,68.79,78.0,39.49,19.0,41.0,103.0,110.39999999999999,116.39999999999999,,,,,True
invalid_invocation,magentic_one,1,44,0.022727,0.004023,0.11808,,,,,,,,,,,,,,,,,True
invention_of_new_information,magentic_one,5,44,0.113636,0.049527,0.239794,,,,,38.12,26.0,34.61,8.0,16.5,38.75,72.19999999999999,98.09999999999997,,,,,True
misinterpretation_of_tool_output,magentic_one,17,44,0.386364,0.25721,0.533767,,,,,14.57,11.0,8.04,23.0,10.0,18.5,26.6,30.599999999999994,,,,,True
system_failure,magentic_one,1,44,0.022727,0.004023,0.11808,,,,,,,,,,,,,,,,,True
instruction_adherence_failure,tau_retail,6,29,0.206897,0.098459,0.383904,,,,,20.33,20.0,14.41,6.0,7.0,31.5,38.0,39.5,,,,,True
intent_not_supported,tau_retail,2,29,0.068966,0.019121,0.219649,,,,,,,,,,,,,,,,,True
intent_plan_misalignment,tau_retail,8,29,0.275862,0.146986,0.457175,,,,,25.5,24.0,7.12,8.0,20.0,31.5,34.2,35.599999999999994,,,,,True
invalid_invocation,tau_retail,2,29,0.068966,0.019121,0.219649,,,,,,,,,,,,,,,,,True
misinterpretation_of_tool_output,tau_retail,7,29,0.241379,0.122183,0.42108,,,,,24.5,18.0,17.26,8.0,10.0,38.0,45.8,51.39999999999999,,,,,True
system_failure,tau_retail,1,29,0.034483,0.006113,0.171759,,,,,,,,,,,,,,,,,True
underspecified_user_intent,tau_retail,10,29,0.344828,0.199405,0.526552,,,,,25.8,26.0,6.16,10.0,21.0,31.5,32.2,33.099999999999994,,,,,True
code_error,who_and_when_hc,11,46,0.23913,0.13912,0.379354,2394.0,0.00459482,0.00256761,0.00820942,3.09,1.0,4.1,11.0,0.5,3.0,8.0,11.0,0.09,0.07692307692307693,0.12,11.0,True
factual_error,who_and_when_hc,4,46,0.086957,0.034335,0.203249,2394.0,0.00167084,0.00064993,0.00428851,,,,,,,,,,,,,True
hallucination,who_and_when_hc,2,46,0.043478,0.012005,0.145325,2394.0,0.00083542,0.00022913,0.00304115,,,,,,,,,,,,,True
orchestration_failure,who_and_when_hc,16,46,0.347826,0.226808,0.492302,2394.0,0.00668338,0.00411804,0.0108294,21.31,13.5,21.51,16.0,7.75,26.0,50.5,58.75,0.44,0.27698863636363635,0.33,16.0,True
resource_abuse,who_and_when_hc,5,46,0.108696,0.047331,0.230381,2394.0,0.00208855,0.00089241,0.00488011,6.0,5.0,6.29,5.0,2.0,5.0,12.8,15.399999999999999,0.15,0.03875968992248062,0.18,5.0,True
tool_web_failure,who_and_when_hc,23,46,0.5,0.361187,0.638813,2394.0,0.01002506,0.00674601,0.0148741,11.29,8.0,9.31,24.0,7.25,12.0,27.19999999999999,32.0,0.39,0.22131565527791944,0.38,24.0,False
tool_web_failure,keyword_search_nebius,26379,80036,0.329589,0.326341,0.332854,4311283.0,0.02246895,0.02232948,0.02260927,19.41,14.0,29.86,26379.0,8.0,24.0,36.0,48.0,,,,,False
resource_not_found,keyword_search_nebius,33565,80036,0.419374,0.415959,0.422796,4311283.0,0.04972719,0.0495224,0.04993279,13.19,10.0,12.01,33565.0,6.0,16.0,26.0,36.0,,,,,False
tool_timeout,keyword_search_itbench,80,105,0.761905,0.672111,0.83321,19292.0,0.09428779,0.09024445,0.09849267,45.16,47.5,29.34,80.0,17.75,61.25,76.50000000000004,91.29999999999998,,,,,False
permission_error,keyword_search_terminalbench,267,52104,0.005124,0.004547,0.005775,1622075.0,0.00040874,0.00037879,0.00044105,18.52,11.0,20.95,267.0,8.0,19.0,42.0,58.0,,,,,False
memory_error,keyword_search_terminalbench,1750,52104,0.033587,0.032074,0.035168,1622075.0,0.01244332,0.01227388,0.01261508,20.38,10.0,32.82,1750.0,2.0,26.0,50.0,73.0,,,,,False
