category,source,position_type,n,mean,median,std,min,max,p25,p75,p90,p95
instruction_adherence_failure,agentRx,absolute,203,53.37,51.0,35.04,3,129,21.0,80.0,106.0,116.0
instruction_adherence_failure,agentRx,normalized,197,0.5,0.48760330578512395,0.26,0,0,0.28125,0.6991869918699187,0.8645282010157712,0.9178294573643409
intent_plan_misalignment,agentRx,absolute,27,55.96,51.0,38.77,4,120,21.0,88.0,109.0,113.89999999999999
unclassified,who_and_when,absolute,85,5.25,4.0,6.42,0,32,1.0,6.0,12.0,20.799999999999983
unclassified,who_and_when,normalized,85,0.38,0.3,0.3,0,1,0.14285714285714285,0.6122448979591837,0.8,0.8
tool_web_failure,who_and_when,absolute,26,10.88,8.0,9.07,3,39,5.75,12.0,24.0,32.0
tool_web_failure,who_and_when,normalized,26,0.44,0.33204301075268816,0.37,0,1,0.16166666666666668,0.6794117647058824,0.9150326797385621,0.9625668449197862
misinterpretation_of_tool_output,agentRx,absolute,31,17.13,14.0,11.99,2,57,10.0,20.0,34.0,39.0
misinterpretation_of_tool_output,agentRx,normalized,23,0.46,0.4,0.25,0,0,0.29138513513513514,0.6185897435897436,0.87,0.8910714285714286
intent_not_supported,agentRx,absolute,24,44.58,24.0,38.05,4,112,16.75,93.0,102.8,107.39999999999999
intent_not_supported,agentRx,normalized,22,0.62,0.7286501377410468,0.29,0,1,0.4246771879483501,0.8366115702479339,0.922314049586777,0.9387052341597797
code_error,who_and_when,absolute,30,2.67,1.0,3.23,0,14,1.0,3.0,8.0,8.549999999999997
code_error,who_and_when,normalized,30,0.25,0.16666666666666666,0.24,0,0,0.1,0.32499999999999996,0.6200000000000002,0.8
guardrails_triggered,agentRx,absolute,24,40.21,27.0,33.61,5,129,17.0,52.25,90.89999999999999,109.99999999999996
guardrails_triggered,agentRx,normalized,24,0.91,1.0,0.22,0,1,1.0,1.0,1.0,1.0
