trajectory_id,trail_category,error_id,error_step,trajectory_length,normalized_position,impact,benchmark
0035f455b3ff2295167a844f04d85d34,Instruction Non-compliance,instruction_adherence_failure,7.0,11,0.636364,LOW,GAIA
0035f455b3ff2295167a844f04d85d34,Tool-related,hallucination,9.0,11,0.818182,HIGH,GAIA
0035f455b3ff2295167a844f04d85d34,Goal Deviation,orchestration_failure,9.0,11,0.818182,HIGH,GAIA
0140b3f657eddf76ca82f72c49ac8e58,Context Handling Failures,kv_cache_loss,40.0,60,0.666667,MEDIUM,GAIA
0140b3f657eddf76ca82f72c49ac8e58,Language-only,hallucination,53.0,60,0.883333,LOW,GAIA
0140b3f657eddf76ca82f72c49ac8e58,Formatting Errors,code_error,23.0,60,0.383333,HIGH,GAIA
0140b3f657eddf76ca82f72c49ac8e58,Formatting Errors,code_error,28.0,60,0.466667,HIGH,GAIA
0140b3f657eddf76ca82f72c49ac8e58,Formatting Errors,code_error,31.0,60,0.516667,HIGH,GAIA
0140b3f657eddf76ca82f72c49ac8e58,Formatting Errors,code_error,34.0,60,0.566667,HIGH,GAIA
0140b3f657eddf76ca82f72c49ac8e58,Formatting Errors,code_error,37.0,60,0.616667,HIGH,GAIA
0140b3f657eddf76ca82f72c49ac8e58,Resource Abuse,resource_abuse,37.0,60,0.616667,HIGH,GAIA
01c5727165fc43899b3b594b9bef5f19,Formatting Errors,code_error,7.0,52,0.134615,LOW,GAIA
01c5727165fc43899b3b594b9bef5f19,Formatting Errors,code_error,12.0,52,0.230769,LOW,GAIA
01c5727165fc43899b3b594b9bef5f19,Formatting Errors,code_error,34.0,52,0.653846,MEDIUM,GAIA
01c5727165fc43899b3b594b9bef5f19,Formatting Errors,code_error,37.0,52,0.711538,MEDIUM,GAIA
01c5727165fc43899b3b594b9bef5f19,Formatting Errors,code_error,39.0,52,0.75,MEDIUM,GAIA
01c5727165fc43899b3b594b9bef5f19,Resource Abuse,resource_abuse,38.0,52,0.730769,MEDIUM,GAIA
01c5727165fc43899b3b594b9bef5f19,Goal Deviation,orchestration_failure,48.0,52,0.923077,HIGH,GAIA
01c5727165fc43899b3b594b9bef5f19,Poor Information Retrieval,misinterpretation_of_tool_output,45.0,52,0.865385,MEDIUM,GAIA
0242ca2533fac5b8b604a9060b3e15d6,Formatting Errors,code_error,9.0,15,0.6,HIGH,GAIA
0242ca2533fac5b8b604a9060b3e15d6,Tool Selection Errors,orchestration_failure,9.0,15,0.6,MEDIUM,GAIA
0242ca2533fac5b8b604a9060b3e15d6,Poor Information Retrieval,misinterpretation_of_tool_output,13.0,15,0.866667,HIGH,GAIA
0242ca2533fac5b8b604a9060b3e15d6,Language-only,hallucination,13.0,15,0.866667,HIGH,GAIA
0242ca2533fac5b8b604a9060b3e15d6,Goal Deviation,orchestration_failure,13.0,15,0.866667,HIGH,GAIA
041b7f9c8c76c2ca1a8e67c6769267c3,Tool-related,hallucination,11.0,15,0.733333,HIGH,GAIA
041b7f9c8c76c2ca1a8e67c6769267c3,Formatting Errors,code_error,13.0,15,0.866667,MEDIUM,GAIA
041b7f9c8c76c2ca1a8e67c6769267c3,Context Handling Failure,unknown,13.0,15,0.866667,MEDIUM,GAIA
041b7f9c8c76c2ca1a8e67c6769267c3,Context Handling Failure,unknown,13.0,15,0.866667,MEDIUM,GAIA
041b7f9c8c76c2ca1a8e67c6769267c3,Tool-related,hallucination,11.0,15,0.733333,HIGH,GAIA
08be1639c58e086cf0bb8c269039973d,Task Orchestration,orchestration_failure,9.0,11,0.818182,MEDIUM,GAIA
08be1639c58e086cf0bb8c269039973d,Tool Selection Errors,orchestration_failure,9.0,11,0.818182,HIGH,GAIA
08be1639c58e086cf0bb8c269039973d,Instruction Non-compliance,instruction_adherence_failure,9.0,11,0.818182,HIGH,GAIA
08be1639c58e086cf0bb8c269039973d,Language-only,hallucination,9.0,11,0.818182,HIGH,GAIA
08be1639c58e086cf0bb8c269039973d,Goal Deviation,orchestration_failure,9.0,11,0.818182,HIGH,GAIA
0adc4f3b99d9564d32811e913cc9d248,Formatting Errors,code_error,7.0,11,0.636364,LOW,GAIA
0ebe673d64647ec44c370638b82d3c78,Instruction Non-compliance,instruction_adherence_failure,7.0,11,0.636364,LOW,GAIA
