category,dataset,trajectory_id,first_occurrence_step,trajectory_length,normalized_position
tool_web_failure,nebius,AnalogJ__lexicon-336,4,93,0.043011
tool_web_failure,nebius,AnalogJ__lexicon-336,4,51,0.078431
tool_web_failure,nebius,AnalogJ__lexicon-336,4,59,0.067797
tool_web_failure,nebius,AnalogJ__lexicon-336,4,41,0.097561
tool_web_failure,nebius,AnalogJ__lexicon-336,4,19,0.210526
tool_web_failure,nebius,AnalogJ__lexicon-336,4,311,0.012862
tool_web_failure,nebius,AnalogJ__lexicon-336,12,29,0.413793
tool_web_failure,nebius,AnalogJ__lexicon-336,8,23,0.347826
tool_web_failure,nebius,AnalogJ__lexicon-336,6,33,0.181818
tool_web_failure,nebius,AnalogJ__lexicon-336,8,83,0.096386
tool_web_failure,nebius,Azure__azure-functions-python-worker-890,12,17,0.705882
tool_web_failure,nebius,Azure__azure-functions-python-worker-890,22,31,0.709677
tool_web_failure,nebius,Azure__azure-functions-python-worker-890,12,65,0.184615
tool_web_failure,nebius,Melevir__cognitive_complexity-15,32,35,0.914286
tool_web_failure,nebius,Melevir__cognitive_complexity-15,48,63,0.761905
tool_web_failure,nebius,PyCQA__pyflakes-761,30,89,0.337079
tool_web_failure,nebius,PyCQA__pyflakes-761,36,79,0.455696
tool_web_failure,nebius,PyCQA__pyflakes-761,34,77,0.441558
tool_web_failure,nebius,PyCQA__pyflakes-761,30,101,0.29703
tool_web_failure,nebius,PyCQA__pyflakes-761,38,81,0.469136
tool_web_failure,nebius,ReproNim__reproman-518,14,51,0.27451
tool_web_failure,nebius,ReproNim__reproman-518,38,79,0.481013
tool_web_failure,nebius,ReproNim__reproman-518,16,27,0.592593
tool_web_failure,nebius,ShawHahnLab__igseq-2,20,35,0.571429
tool_web_failure,nebius,TACC__agavepy-62,18,39,0.461538
tool_web_failure,nebius,TACC__agavepy-62,30,111,0.27027
tool_web_failure,nebius,TACC__agavepy-62,8,45,0.177778
tool_web_failure,nebius,TACC__agavepy-62,10,55,0.181818
tool_web_failure,nebius,TACC__agavepy-62,12,45,0.266667
tool_web_failure,nebius,absent1706__sqlalchemy-mixins-108,24,81,0.296296
tool_web_failure,nebius,absent1706__sqlalchemy-mixins-108,20,193,0.103627
tool_web_failure,nebius,absent1706__sqlalchemy-mixins-108,20,65,0.307692
