Time,Input Tokens,Output Tokens,Cache Read Tokens,Cache Creation Tokens
2026-04-01 03:24:13.218088+08:00,0,79,148614,0
2026-04-01 03:23:32.189884+08:00,0,79,146258,2356
2026-04-01 03:20:24.355431+08:00,0,380,146258,491
2026-04-01 03:20:09.943355+08:00,326,12,0,0
2026-04-01 03:19:53.004046+08:00,0,82,146258,620
2026-04-01 03:19:48.528701+08:00,455,19,0,0
2026-04-01 03:19:33.888914+08:00,0,165,144899,1359
2026-04-01 03:19:28.876261+08:00,0,380,144535,363
2026-04-01 03:19:20.998427+08:00,0,159,143774,761
2026-04-01 03:19:16.161266+08:00,0,380,143614,160
2026-04-01 03:19:09.345054+08:00,0,72,143361,253
2026-04-01 03:19:05.004845+08:00,0,131,142723,638
2026-04-01 03:18:58.075858+08:00,0,97,141326,1397
2026-04-01 03:18:52.472806+08:00,0,380,135446,5879
2026-04-01 03:18:43.398854+08:00,0,380,134257,1190
2026-04-01 03:18:12.959911+08:00,0,380,133920,336
2026-04-01 03:18:05.216778+08:00,0,132,128872,5048
2026-04-01 03:18:00.105373+08:00,0,380,127993,879
2026-04-01 03:17:27.721981+08:00,0,380,126852,1141
2026-04-01 03:17:18.719449+08:00,0,380,122423,4430
2026-04-01 03:17:10.408196+08:00,0,380,120261,2162
2026-04-01 03:16:42.838699+08:00,0,380,119371,890
2026-04-01 03:16:25.784863+08:00,0,370,117868,1503
2026-04-01 03:16:19.761927+08:00,0,58,117025,843
2026-04-01 03:16:15.917992+08:00,0,380,114822,2203
2026-04-01 03:16:10.226573+08:00,0,50,114318,503
2026-04-01 03:16:06.041769+08:00,0,49,113941,378
2026-04-01 03:15:58.968111+08:00,0,51,103721,10219
2026-04-01 03:15:51.805126+08:00,0,380,102036,1685
2026-04-01 03:14:52.037610+08:00,0,96,99660,2377
2026-04-01 03:14:47.748349+08:00,0,49,89715,9945
2026-04-01 03:14:43.682236+08:00,0,46,88122,1592
2026-04-01 03:14:39.481413+08:00,0,60,84832,3291
2026-04-01 03:14:35.597222+08:00,0,46,79750,5082
2026-04-01 03:14:31.714132+08:00,0,47,75714,4036
2026-04-01 03:14:27.681230+08:00,0,45,68332,7381
2026-04-01 03:14:23.711578+08:00,0,37,67798,535
2026-04-01 03:14:19.925466+08:00,0,64,53024,14774
2026-04-01 03:14:15.245143+08:00,0,46,52717,307
2026-04-01 03:14:11.024548+08:00,0,113,40272,12445
2026-04-01 03:14:05.673795+08:00,9360,67,30106,805
2026-04-01 03:14:03.766945+08:00,455,19,0,0
2026-04-01 03:13:50.333767+08:00,459144,5511,0,0
2026-03-30 01:30:55.206306+08:00,455700,222,0,0
2026-03-30 01:27:13.557841+08:00,454958,315,0,0
2026-03-30 01:27:03.160031+08:00,454145,47,0,0
2026-03-30 01:26:53.894777+08:00,451058,35,0,0
2026-03-30 01:26:41.255905+08:00,447981,137,0,0
2026-03-30 01:26:25.448625+08:00,446468,65,0,0
2026-03-30 01:26:15.200575+08:00,445870,20,0,0
2026-03-30 01:25:54.027104+08:00,441779,213,0,0
2026-03-30 01:25:16.085238+08:00,439818,34,0,0
2026-03-30 01:25:06.329062+08:00,432971,82,0,0
2026-03-30 01:24:15.432380+08:00,432524,139,0,0
2026-03-30 01:24:11.079100+08:00,720,239,0,0
2026-03-29 21:59:52.611513+08:00,432609,196,0,0
2026-03-29 21:56:42.616511+08:00,432468,59,0,0
2026-03-29 21:55:42.193287+08:00,429445,1675,0,0
2026-03-29 21:55:23.044584+08:00,338488,252,0,0
2026-03-29 21:55:10.211205+08:00,230782,34,0,0
2026-03-29 21:54:54.590552+08:00,229974,23,0,0
2026-03-29 21:54:42.289951+08:00,229470,45,0,0
2026-03-29 21:54:33.153382+08:00,228164,208,0,0
2026-03-29 21:53:29.989736+08:00,225468,13,0,0
2026-03-29 21:53:23.073867+08:00,224223,34,0,0
2026-03-29 21:53:06.288448+08:00,222837,113,0,0
2026-03-29 21:52:42.239529+08:00,221638,69,0,0
2026-03-29 21:51:14.969781+08:00,218903,58,0,0
2026-03-29 21:51:04.271157+08:00,218424,24,0,0
2026-03-29 21:50:50.832944+08:00,217237,40,0,0
2026-03-29 21:50:36.910406+08:00,213497,1177,0,0
2026-03-29 21:50:06.879890+08:00,212038,349,0,0
2026-03-29 21:48:50.274921+08:00,209333,57,0,0
2026-03-29 21:48:37.833692+08:00,208293,17,0,0
2026-03-29 21:48:28.492217+08:00,207505,60,0,0
2026-03-29 21:47:49.881518+08:00,205783,159,0,0
2026-03-29 21:47:27.636512+08:00,203993,172,0,0
2026-03-29 21:47:14.703110+08:00,200409,598,0,0
2026-03-29 21:46:39.361087+08:00,197587,74,0,0
2026-03-29 21:46:00.386744+08:00,196056,49,0,0
2026-03-29 21:45:34.499515+08:00,195793,18,0,0
2026-03-29 21:45:23.669663+08:00,195265,51,0,0
2026-03-29 21:45:11.957754+08:00,185308,275,0,0
2026-03-29 21:44:40.255694+08:00,184809,43,0,0
2026-03-29 21:44:34.735495+08:00,1196,482,0,0
2026-03-29 21:32:13.206733+08:00,177273,25,0,0
2026-03-29 21:32:03.589779+08:00,175665,18,0,0
2026-03-29 21:31:46.934037+08:00,173394,274,0,0
2026-03-29 21:25:51.787721+08:00,172047,174,0,0
2026-03-29 21:25:42.523192+08:00,164501,12,0,0
2026-03-29 21:25:28.102098+08:00,163135,34,0,0
2026-03-29 21:25:14.055097+08:00,160000,158,0,0
2026-03-29 21:21:35.987570+08:00,158032,570,0,0
2026-03-29 21:21:20.469507+08:00,152231,120,0,0
2026-03-29 21:21:12.666579+08:00,151228,49,0,0
2026-03-29 21:21:02.114578+08:00,149520,18,0,0
2026-03-29 21:20:55.821891+08:00,147200,456,0,0
2026-03-29 21:20:39.840139+08:00,145854,73,0,0
2026-03-29 21:20:32.942509+08:00,144214,41,0,0
2026-03-29 21:20:23.024977+08:00,141088,228,0,0
2026-03-29 21:20:10.823490+08:00,138610,159,0,0
2026-03-29 21:19:58.232656+08:00,137897,64,0,0
2026-03-29 21:19:46.263629+08:00,137115,32,0,0
2026-03-29 21:19:31.480211+08:00,136291,113,0,0
2026-03-29 21:15:45.412680+08:00,133144,452,0,0
2026-03-29 21:15:34.083709+08:00,126674,1116,0,0
2026-03-29 21:14:50.466709+08:00,125649,74,0,0
2026-03-29 21:14:28.064421+08:00,124854,37,0,0
2026-03-29 21:14:14.807217+08:00,123937,169,0,0
2026-03-29 21:14:01.028622+08:00,122602,60,0,0
2026-03-29 21:13:50.242399+08:00,121328,33,0,0
2026-03-29 21:13:38.538815+08:00,106707,1015,0,0
2026-03-29 21:13:20.992731+08:00,76849,122,0,0
2026-03-29 21:13:06.408898+08:00,62275,221,0,0
2026-03-29 21:13:05.432392+08:00,781,93,0,0
2026-03-29 21:00:54.197933+08:00,126744,59,0,0
2026-03-29 20:57:45.893518+08:00,126301,117,0,0
2026-03-29 20:57:39.217830+08:00,125887,14,0,0
2026-03-29 20:57:29.798271+08:00,125097,47,0,0
2026-03-29 20:57:19.321616+08:00,124581,31,0,0
2026-03-29 20:57:12.298854+08:00,124028,15,0,0
2026-03-29 20:57:04.268046+08:00,123382,89,0,0
2026-03-29 20:56:53.913284+08:00,120502,28,0,0
2026-03-29 20:56:39.165016+08:00,117789,57,0,0
2026-03-29 20:56:29.159379+08:00,774,685,0,0
2026-03-29 20:51:49.451270+08:00,117072,317,0,0
2026-03-29 20:51:40.976496+08:00,115657,29,0,0
2026-03-29 20:51:32.137641+08:00,114696,47,0,0
2026-03-29 20:51:19.608604+08:00,113343,12,0,0
2026-03-29 20:51:13.378460+08:00,112725,17,0,0
2026-03-29 20:51:04.780722+08:00,112258,20,0,0
2026-03-29 20:50:58.489909+08:00,106581,68,0,0
2026-03-29 20:50:49.977785+08:00,105733,13,0,0
2026-03-29 20:50:42.642600+08:00,104224,40,0,0
2026-03-29 20:50:23.666177+08:00,102958,20,0,0
2026-03-29 20:50:17.451892+08:00,102165,42,0,0
2026-03-29 20:50:10.079409+08:00,101216,46,0,0
2026-03-29 20:50:01.298079+08:00,99633,431,0,0
2026-03-29 20:49:47.004835+08:00,99060,64,0,0
2026-03-29 20:49:34.737937+08:00,98150,31,0,0
2026-03-29 20:49:27.471061+08:00,97014,37,0,0
2026-03-29 20:49:20.615571+08:00,96223,178,0,0
2026-03-29 20:49:11.380951+08:00,94835,83,0,0
2026-03-29 20:49:05.622682+08:00,92039,962,0,0
2026-03-29 20:48:56.943185+08:00,89384,338,0,0
2026-03-29 20:48:42.961397+08:00,88418,38,0,0
2026-03-29 20:48:25.536754+08:00,85938,776,0,0
2026-03-29 20:48:19.087416+08:00,853,817,0,0
2026-03-29 20:46:26.252740+08:00,85061,50,0,0
2026-03-29 20:46:19.045952+08:00,83783,31,0,0
2026-03-29 20:46:08.282174+08:00,82393,18,0,0
2026-03-29 20:46:01.482805+08:00,81186,44,0,0
2026-03-29 20:45:54.322493+08:00,184628,4566,0,0
2026-03-29 20:45:26.235614+08:00,167533,17,0,0
2026-03-29 20:41:56.371580+08:00,165627,14,0,0
2026-03-29 20:41:47.163498+08:00,163518,80,0,0
2026-03-29 20:41:38.725211+08:00,162236,498,0,0
2026-03-29 20:41:20.451545+08:00,161336,32,0,0
2026-03-29 20:37:53.316593+08:00,159318,13,0,0
2026-03-29 20:37:44.630466+08:00,158797,37,0,0
2026-03-29 20:37:30.046084+08:00,156692,132,0,0
2026-03-29 20:37:19.947710+08:00,155160,628,0,0
2026-03-29 20:37:01.908930+08:00,153742,104,0,0
2026-03-29 20:33:28.723621+08:00,152763,16,0,0
